"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the first-name field rejects numeric input.","1359","test_invalid_first_name_expects_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the real happy path from admission submission to visible pending session creation.","11698","test_admission_happy_path_expects_pending_session_created_in_session_management[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_happy_path","",""
"Verify a valid Date of Birth still allows a real patient admission to be created.","10525","test_admission_with_valid_date_of_birth_expects_pending_session_created[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_happy_path","",""
"Verify that the configured BioBeat user can log in and land on Session Management.","10827","test_login_expects_user_can_authenticate_and_reach_session_management[chromium]","tests.ui","2026-06-17","passed","2026-06-17","","test_login","",""
"Verify the height field rejects values outside the supported live range.","1265","test_height_boundaries_expect_validation_feedback[chromium-300-Height must be between 30-242 cm]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify a future Date of Birth is rejected by the form.","1266","test_future_date_of_birth_expects_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the weight field rejects values outside the supported live range.","1238","test_weight_boundaries_expect_validation_feedback[chromium-1000-Weight must be between 10-250 kg]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the Patient ID field rejects special characters.","1195","test_invalid_patient_id_characters_expect_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the last-name field rejects numeric input.","1270","test_invalid_last_name_expects_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the admission confirmation popup enables only for the exact patient ID.","1420","test_confirmation_popup_enablement_expects_exact_patient_id_before_confirm[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_popup_behavior","",""
"Verify the weight field rejects values outside the supported live range.","1386","test_weight_boundaries_expect_validation_feedback[chromium-0-Weight must be between 10-250 kg]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify that an authenticated user can open Patient Admission and see the core fields.","10968","test_navigation_to_patient_admission_expects_form_to_load[chromium]","tests.ui","2026-06-17","passed","2026-06-17","","test_navigation","",""
"Verify the height field rejects values outside the supported live range.","1344","test_height_boundaries_expect_validation_feedback[chromium-0-Height must be between 30-242 cm]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify an ineligible device state maps to the distinct not-activated feedback.","4956","test_device_not_activated_expects_distinct_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the Female gender option is accepted as part of an otherwise valid submission.","1286","test_female_gender_selection_expects_confirmation_popup_to_open[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_popup_behavior","",""
"Verify live removal rules and prove teardown cleanup stays safe on repeated attempts.","35777","test_cleanup_expects_session_removal_to_require_patient_id_and_be_idempotent[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_cleanup","",""
"Verify the form blocks submission when Device ID is missing.","1195","test_missing_required_device_id_expects_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify that an authenticated user can open Patient Lookup and see its search surface.","18751","test_navigation_to_patient_lookup_expects_search_and_table_to_load[chromium]","tests.ui","2026-06-17","passed","2026-06-17","","test_navigation","",""
"Verify a device already assigned to a live session cannot be assigned to another patient.","15738","test_device_already_assigned_expects_in_use_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the Device ID minimum-length validation using a too-short live input.","1189","test_device_shorter_than_minimum_expects_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify unsupported special characters in Additional Notes are rejected cleanly.","1208","test_additional_notes_invalid_characters_expect_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the form requires a referring physician before submission.","748","test_missing_physician_expects_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
"Verify the exit popup preserves draft data on cancel and leaves on explicit confirmation.","1877","test_exit_popup_behavior_expects_cancel_to_keep_form_and_leave_to_exit[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_popup_behavior","",""
"Verify the form blocks submission when Patient ID is missing.","1131","test_missing_required_patient_id_expects_validation_feedback[chromium]","tests.ui.patient_admission","2026-06-17","passed","2026-06-17","","test_admission_negative_validation","",""
